timestamp,temperature_c,humidity_pct,pressure_hpa,air_quality_index,co2_ppm,voc_ppb
2026-07-26T11:15:00Z,24.8,41.2,1013.5,49,420,40
2026-07-26T11:17:00Z,85.0,10.0,950.0,300,2500,9000
2026-07-26T11:19:00Z,-10.0,0.5,870.0,600,5000,12000
2026-07-26T11:21:00Z,200.0,130.0,1200.0,5,200,2
2026-07-26T11:23:00Z,50.0,80.0,980.0,999,10000,15000
2026-07-26T11:25:00Z,24.5,42.0,1014.3,46,425,45
2026-07-26T11:27:00Z,70.0,5.0,890.0,450,3000,8000
2026-07-26T11:29:00Z,10.0,95.0,1100.0,20,150,500
2026-07-26T11:31:00Z,150.0,2.0,880.0,700,8000,20000
2026-07-26T11:33:00Z,24.3,42.6,1014.8,44,429,49
